%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1580572405669233949,911,1580572404661530721,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572406680613982,912,1580572405668885638,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572407693928150,913,1580572406680206620,,0,1,42.34989866666667,-71.08477333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572408709536585,914,1580572407690153551,,0,1,42.349901333333335,-71.08475733333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572409719150531,915,1580572408708978160,,0,1,42.349912,-71.08472,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572410726479014,916,1580572409718788509,,0,1,42.34992533333333,-71.08466666666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572411729290360,917,1580572410726017233,,0,1,42.349941333333334,-71.084608,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572412752185023,918,1580572411728873246,,0,1,42.34996,-71.084544,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572413760534745,919,1580572412751659338,,0,1,42.349978666666665,-71.08447466666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572414769061912,920,1580572413760189478,,0,1,42.35,-71.08439466666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572415779191804,921,1580572414768701166,,0,1,42.350024,-71.08430933333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572416789425071,922,1580572415778781716,,0,1,42.350048,-71.08421866666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572417802834044,923,1580572416788863392,,0,1,42.350074666666664,-71.08412266666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572418809263851,924,1580572417802495924,,0,1,42.35009866666667,-71.084032,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572419819305937,925,1580572418808719483,,0,1,42.35012533333333,-71.083936,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572420830028447,926,1580572419818864095,,0,1,42.350149333333334,-71.08384533333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572421842373868,927,1580572420829584039,,0,1,42.350176,-71.08374933333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572422852103103,928,1580572421842027643,,0,1,42.35020266666667,-71.08365866666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572423869821595,929,1580572422851643560,,0,1,42.350226666666664,-71.083568,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572424879157906,930,1580572423869314668,,0,1,42.35025066666667,-71.08347733333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572425891416802,931,1580572424878876319,,0,1,42.35027733333333,-71.08338666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572426899960418,932,1580572425888738792,,0,1,42.350301333333334,-71.083296,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572427909326410,933,1580572426899559534,,0,1,42.35032533333333,-71.0832,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572428921612638,934,1580572427908858224,,0,1,42.350352,-71.083104,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572429929331324,935,1580572428921141901,,0,1,42.350378666666664,-71.083008,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572430940528755,936,1580572429928884375,,0,1,42.350405333333335,-71.082912,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572431079325743,937,1580572430939809581,,0,1,42.35042933333333,-71.08282133333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572432959672524,938,1580572431950688425,,0,1,42.350456,-71.08272533333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572433089428229,939,1580572432959309118,,0,1,42.35048,-71.082624,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572434082840571,940,1580572433968954120,,0,1,42.35050666666667,-71.08251733333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572435109656711,941,1580572434989098897,,0,1,42.350536,-71.08241066666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572436089152837,942,1580572435998781046,,0,1,42.350565333333336,-71.08229333333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572437082710449,943,1580572437009341460,,0,1,42.350594666666666,-71.08218133333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572438109408133,944,1580572438018719221,,0,1,42.35062666666666,-71.082064,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572439089126759,945,1580572439029151372,,0,1,42.35065866666667,-71.08194666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572440079594526,946,1580572440039125124,,0,1,42.350690666666665,-71.08182933333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572441109138764,947,1580572441050931638,,0,1,42.35072,-71.08171733333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572442089136891,948,1580572442069024898,,0,1,42.35074933333333,-71.08160533333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572443079285749,949,1580572443068797531,,0,1,42.35077866666666,-71.081488,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572444109099222,950,1580572444088760750,,0,1,42.350808,-71.08138133333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572445102566686,951,1580572445099223015,,0,1,42.35083733333333,-71.08127466666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572446109545314,952,1580572446108738808,,0,1,42.350864,-71.08117333333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572447122903683,953,1580572447119169042,,0,1,42.35089333333333,-71.08106666666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572448129864050,954,1580572448129308172,,0,1,42.35092,-71.08097066666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572449142193216,955,1580572449139380178,,0,1,42.350946666666665,-71.08086933333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572450159430520,956,1580572450151140622,,0,1,42.35097066666667,-71.08077866666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572451162860267,957,1580572451158801027,,0,1,42.350994666666665,-71.08069333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572452170001523,958,1580572452168965041,,0,1,42.351016,-71.08061866666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572453197918254,959,1580572453179237178,,0,1,42.35102933333334,-71.08056,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572454199291163,960,1580572454196116028,,0,1,42.35103466666666,-71.08050133333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572455209066135,961,1580572455198813455,,0,1,42.35102933333334,-71.08045333333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572456209588015,962,1580572456209054258,,0,1,42.35100533333333,-71.08040533333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572457230125656,963,1580572457229281517,,0,1,42.35097066666667,-71.080368,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572459109105887,964,1580572458238813736,,0,1,42.35093066666666,-71.080336,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572459251513110,965,1580572459250924472,,0,1,42.350882666666664,-71.08030933333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572461079247260,966,1580572460261837897,,0,1,42.350832,-71.08028266666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572462109640384,967,1580572461273324304,,0,1,42.35077866666666,-71.08026133333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572463089372117,968,1580572462278875811,,0,1,42.350730666666664,-71.08023466666667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572464079355621,969,1580572463289360065,,0,1,42.35068533333333,-71.08021333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572465109236010,970,1580572464298793702,,0,1,42.35064533333333,-71.080192,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580572466089635808,971,1580572465308892518,,0,1,42.35061066666667,-71.080176,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
